player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
32,13,29,Killjoy,Sentinel,22.0,15.0,5.0,4.0,4.0,0,0,198.0,40.8
45,13,29,Sova,Initiator,22.0,16.0,8.0,1.0,0.0,0,0,181.0,38.1
10,13,29,Viper,Controller,12.0,14.0,8.0,1.0,0.0,1,0,100.0,23.0
57,13,29,Sage,Sentinel,15.0,16.0,7.0,2.0,4.0,0,0,100.0,20.5
44,13,29,Jett,Duelist,17.0,21.0,3.0,4.0,3.0,0,0,137.0,26.700000000000003
50,13,30,Neon,Duelist,12.0,18.0,8.0,3.0,3.0,1,0,152.0,27.200000000000003
12,13,30,Omen,Controller,13.0,15.0,3.0,2.0,2.0,0,0,102.0,19.200000000000003
54,13,30,Gekko,Initiator,18.0,17.0,9.0,2.0,2.0,0,0,137.0,29.700000000000003
46,13,30,Brimstone,Controller,10.0,16.0,10.0,0.0,1.0,1,0,87.0,16.700000000000003
29,13,30,Skye,Initiator,10.0,18.0,1.0,4.0,3.0,0,0,95.0,16.0
44,13,30,Raze,Duelist,29.0,12.0,6.0,4.0,2.0,0,0,251.0,57.1
10,13,30,Brimstone,Controller,20.0,10.0,12.0,2.0,3.0,0,0,153.0,37.3
32,13,30,Viper,Controller,17.0,14.0,6.0,5.0,2.0,0,0,146.0,35.6
45,13,30,Skye,Initiator,8.0,13.0,15.0,0.0,3.0,0,0,100.0,16.0
57,13,30,Sage,Sentinel,10.0,14.0,9.0,0.0,1.0,0,0,66.0,13.100000000000001
47,14,31,Sova,Initiator,17.0,13.0,2.0,3.0,0.0,1,0,178.0,37.3
